problem,Gender
Afraid of fake products,Male
Too busy/lazy to go out,Female
Limited budget,Male
Wanted product is out of stock,Male
Uncertain cost of the same product,Female
Too expensive cost,Female
Wanted product is out of stock,LGBTQ+
Bad logistics,Female
Struggle with finding new brand,Female
Wanted product is out of stock,Female
Wanted product is out of stock,Female
Forget to buy,Female
Forget to buy,Female
Too many items to buy at once,Female
Forget to buy,Female
Buy too much off-list items,Female
Hard to find some items,LGBTQ+
Wanted product is out of stock,LGBTQ+
Too busy/lazy to go out,Female
Limited budget,Female
Want to try something new,Female
Forget to buy,Female
Wanted product is out of stock,LGBTQ+
No promotion,Female
No longer produced product,Female
Wanted product is out of stock,Female
Want to try something new,Female
Forget to buy,Male
Too busy/lazy to go out,Female
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
